Pathways	IS013	IS014	IS015	IS016	IS017	IS018	IS019	IS020	IS021	IS023	IS024	IS025	IS026	IS028	IS029	IS030	IS033	IS035	IS036	IS039	IS043	IS044	IS045	IS047	IS180	IS181	IS182	IS183	IS185	IS186	IS187	IS188	IS189	IS190	IS191	IS192	IS193	IS195	IS196	IS197	IS199	IS200	IS201	IS203	IS204	IS205	IS206	IS207	IS208	IS209	IS210
PWY-5741	0.0242	5.7559	12.9985	1.2535	0.0103	0.0	0.0	1.3582	5.8015	13.8357	0.2426	0.0	23.7347	3.4006	19.7116	0.0357	2.9742	3.0461	1.306	72.7305	0.0	58.5045	0.0	41.9772	47.4106	0.0	0.7384	0.4573	6.0326	0.0	0.5536	11.2498	0.0	0.0	0.1332	0.0	0.0	0.0546	0.0	5.9893	0.0052	2.84	0.0002	157.9637	0.0	20.3808	27.0634	10.8279	0.0014	80.477	2.2417
PWY-5743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6386	2.981	0.0	0.0	0.0	2.7281	0.0348	0.0	0.0	1.3321	0.0	0.7213	23.2374	5.6828	0.0	0.0	0.0	2.7012	0.0	0.0	0.0	4.2666	0.0	20.2698	4.6119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.1119	0.0	0.0	0.0005	51.9984	0.0	0.0018	0.0061	5.1351	0.0	0.0	0.8667
PWY-5744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4313	2.4848	0.0	0.0	0.0	2.678	0.0348	0.0	0.0	1.2818	0.0	0.6098	20.34	0.0	0.0	0.0	0.0	2.6067	0.0	0.0	0.0	3.2512	0.0	16.704	4.1551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.1055	0.0	0.0	0.0005	41.2421	0.0	0.0025	0.0089	4.397	0.0	0.0	0.694
PWY-5747	64.1288	25.4406	497.9966	1068.0265	682.6175	84.8959	76.2202	52.6162	1537.8473	79.645	159.6043	129.0436	230.8078	302.8194	122.9924	429.8274	27.15	163.1934	116.48	146.5856	165.2577	78.2673	150.2405	189.5215	271.5914	20.6551	182.7545	1130.9253	32.8133	12.9631	340.5831	138.6632	226.852	69.3627	101.1546	62.4269	387.9192	97.7178	255.9235	100.2315	57.5538	38.0816	21.7696	187.7294	70.4287	64.3625	30.7403	38.7551	41.749	279.3918	141.9001
PWY-5757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2497	0.0	0.0	0.0	0.0	0.0356	0.0	0.0	0.2092	0.0	0.004	0.0	7.449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0024	0.0066	0.0834	0.0	0.0	0.0
PWY-5823	47.9386	0.0	0.3565	2.3486	11.5324	0.0	5.6893	5.9234	6.1276	6.082	0.0	7.8523	6.0335	2.3958	4.6112	4.0035	0.0	7.0158	4.4642	15.003	0.0	13.4114	1.0869	1.2472	12.7898	0.8017	9.7694	0.6514	17.8228	0.0	3.8244	15.4349	4.0179	29.6839	10.9656	33.3605	2.2084	4.6625	1.9381	7.7694	0.0	2.9488	0.0	5.5243	3.0003	0.0	3.0102	11.5071	0.0453	10.8664	5.2015
PWY-5837	1030.0004	1537.0919	7412.2184	28313.6292	7360.3197	1284.452	1102.1816	67.9814	8482.6541	9602.7212	24321.6119	5340.2031	5328.9306	11619.5884	1390.4082	5099.3205	1078.1017	7023.8176	5960.1535	3828.2189	4493.6125	1323.6318	1539.3588	786.0395	286.4971	9388.7037	4358.0447	5974.2289	781.5093	2687.5052	778.2249	1286.8487	1075.9166	2129.6688	599.993	1121.241	4652.0057	2291.9028	2247.0925	778.6714	1752.9371	167.8857	7317.2151	1439.6403	119.6232	89.2695	262.9395	52.5599	97.2548	1567.1527	3590.2282
PWY-5838	2484.8447	1628.2783	7575.4644	30361.9134	10811.9792	2069.3567	1542.6619	133.9511	14936.1259	11343.2113	25094.0029	5176.6125	5123.0214	9927.3345	2086.2022	5326.3738	2236.3711	8294.3199	5821.5523	4933.8858	5684.5947	1340.8364	1740.6867	1259.253	473.8694	11382.4414	6297.0401	5720.6597	1231.4145	2042.1188	951.3907	2746.1945	1765.4682	5818.6284	746.1575	1588.315	5971.5575	3804.637	2594.5904	1041.0104	673.3584	330.9097	9166.0249	1997.1469	177.8106	199.4891	447.6868	92.2092	172.784	3131.849	5493.1664
PWY-5840	2500.6875	1689.1535	7667.2111	30255.1606	10882.0834	2181.0072	1582.1905	133.9897	14964.9239	11653.236	24861.1059	5164.1575	5134.1423	9674.8259	2104.8652	5416.6961	2457.5853	8541.7466	5685.74	4972.7957	5786.2339	1353.5092	1747.8137	1296.8726	478.7503	11935.5873	6344.2626	5723.1715	1258.3638	2018.4138	1053.6071	3082.1763	1826.746	5831.0693	787.9061	1663.7092	5888.6035	3883.8235	2646.0542	1105.9197	646.4477	374.2861	9779.2862	2022.6088	175.7039	206.2164	441.7711	92.0083	170.7659	2924.3764	5463.7361
PWY-5845	106.3087	265.4041	634.4776	3124.9866	2583.9485	225.5881	165.4548	89.0732	1971.8002	53.8243	497.7909	487.7829	648.3036	1765.6505	196.308	570.0543	72.8401	1726.0525	590.5371	1151.0734	934.3387	465.0659	264.5308	263.2089	426.4506	143.287	532.2335	779.8404	123.9936	123.4394	713.2473	855.6298	559.6227	1478.1828	102.5521	412.7264	3191.8184	198.7427	1722.294	279.0211	320.222	108.0596	111.7821	712.7557	157.4536	136.9525	164.2796	64.0179	52.2758	815.7407	102.4573
PWY-5850	106.3087	265.4041	634.4776	3124.9866	2583.9485	225.5881	165.4548	89.0732	1971.8002	53.8243	497.7909	487.7829	648.3036	1765.6505	196.308	570.0543	72.8401	1726.0525	590.5371	1151.0734	934.3387	465.0659	264.5308	263.2089	426.4506	143.287	532.2335	779.8404	123.9936	123.4394	713.2473	855.6298	559.6227	1478.1828	102.5521	412.7264	3191.8184	198.7427	1722.294	279.0211	320.222	108.0596	111.7821	712.7557	157.4536	136.9525	164.2796	64.0179	52.2758	815.7407	102.4573
